Epoch 1 Metrics: {'eval_loss': 0.21512165665626526, 'eval_accuracy': 0.9134, 'eval_precision': 0.9137605635333841, 'eval_recall': 0.9134, 'eval_f1': 0.913381129420741, 'eval_runtime': 195.3276, 'eval_samples_per_second': 127.99, 'eval_steps_per_second': 1.003, 'epoch': 1.0}
Epoch 1 Metrics: {'loss': 0.2113, 'grad_norm': 0.0, 'learning_rate': 0.00015899403239556692, 'epoch': 1.0230179028132993}
Epoch 1 Metrics: {'loss': 0.2204, 'grad_norm': 0.0, 'learning_rate': 0.0001504688832054561, 'epoch': 1.0485933503836318}
Epoch 1 Metrics: {'loss': 0.2193, 'grad_norm': 0.0, 'learning_rate': 0.00014194373401534528, 'epoch': 1.0741687979539642}
Epoch 1 Metrics: {'loss': 0.2269, 'grad_norm': 0.0, 'learning_rate': 0.00013341858482523444, 'epoch': 1.0997442455242967}
Epoch 1 Metrics: {'loss': 0.2013, 'grad_norm': 0.0, 'learning_rate': 0.00012489343563512362, 'epoch': 1.1253196930946292}
Epoch 1 Metrics: {'loss': 0.1716, 'grad_norm': 0.0, 'learning_rate': 0.00011636828644501279, 'epoch': 1.1508951406649617}
Epoch 1 Metrics: {'loss': 0.1997, 'grad_norm': 0.0, 'learning_rate': 0.00010784313725490197, 'epoch': 1.1764705882352942}
Epoch 1 Metrics: {'loss': 0.244, 'grad_norm': 0.0, 'learning_rate': 9.931798806479114e-05, 'epoch': 1.2020460358056266}
Epoch 1 Metrics: {'loss': 0.2015, 'grad_norm': 0.0, 'learning_rate': 9.07928388746803e-05, 'epoch': 1.227621483375959}
Epoch 1 Metrics: {'loss': 0.2029, 'grad_norm': 0.0, 'learning_rate': 8.226768968456948e-05, 'epoch': 1.2531969309462916}
Epoch 1 Metrics: {'loss': 0.1946, 'grad_norm': 0.0, 'learning_rate': 7.374254049445865e-05, 'epoch': 1.278772378516624}
Epoch 1 Metrics: {'loss': 0.2011, 'grad_norm': 0.0, 'learning_rate': 6.521739130434782e-05, 'epoch': 1.3043478260869565}
